edad,ingreso_mensual,antiguedad_cliente_meses,limite_credito,saldo_promedio,porcentaje_utilizacion,num_transacciones_mes,pagos_atrasados_12m,reclamos_12m,region_Norte,region_Sur,canal_adquisicion_Referido,canal_adquisicion_Sucursal,canal_adquisicion_Web,tipo_producto_Préstamo,tipo_producto_Tarjeta,tipo_contrato_Mensual,metodo_pago_Efectivo,metodo_pago_Transferencia,segmento_cliente,default_12m
0.4599567170562296,-0.23527689656335077,-0.9611315467538397,-0.5385301800595331,-0.21293246707173494,0.46362178120335684,0.46627521161766133,1.6259878134606849,-0.48849277951831244,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
-0.1418445613112044,-0.46783052021677524,3.467460108415108,-0.3146997752281796,-0.3199371490868005,-0.169499130474357,-0.699412817426492,-1.0988269783961213,-0.48849277951831244,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0
0.631899939446925,-0.6403399089144812,0.6612238120704282,-0.8849791822538393,-0.8477721382687428,-0.8026200421520711,-0.46627521161766133,-0.1905553811105193,0.3241719676424137,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
1.57758766259575,-0.16345977440268622,1.0996982333742844,-0.44409182863545205,-0.9381276862108325,-1.435740953829785,0.9325504232353227,-1.0988269783961213,0.3241719676424137,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
-0.22781617250655212,1.1037562714829305,0.22274939076657208,1.4650183639321612,-0.27358634776331947,-1.1191804979909281,1.1656880290441534,0.7177162161750827,0.3241719676424137,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1
-0.22781617250655212,-0.7295257567449004,-0.8295892203626829,-0.6919430519755474,-0.9389964435862613,-1.3091167714942422,0.699412817426492,-1.0988269783961213,-0.48849277951831244,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
1.57758766259575,0.8097488331362757,-0.9611315467538397,1.0505270559287203,0.18811790114090418,-0.5493716774809854,1.6319632406618145,-1.0988269783961213,-0.48849277951831244,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1
0.8038431618376204,-0.7346881011671448,1.0558507912438988,-0.640692745569041,-0.14105850291824587,0.9068064193777566,-0.23313760580883067,0.7177162161750827,-0.48849277951831244,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1
-0.48573100609259523,-0.7659981497202375,-0.4788096833195979,-0.5893084434386126,-0.8034388756929159,-0.9925563156553852,-1.398825634852984,2.534259410746287,-0.48849277951831244,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.5459283282515773,0.5662140040482885,-0.698046893971526,0.7335963109165161,0.73563311341481,0.27368550770004285,0.699412817426492,-1.0988269783961213,-0.48849277951831244,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
-0.48573100609259523,0.7010489951314774,-0.17187758840689854,0.4155719161576116,1.2502195526214643,1.286678966384385,-0.23313760580883067,-1.0988269783961213,-0.48849277951831244,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0
-0.48573100609259523,0.6081267955310777,-0.4349622411892123,0.09555204151009124,-0.016611057844160334,-0.10618703930658555,0.23313760580883067,-0.1905553811105193,-0.48849277951831244,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
0.20204188347018645,-0.9559515704024419,0.0912070643754152,-0.9874008432295203,-0.98491218323667,-1.2458046803264708,0.9325504232353227,-0.1905553811105193,-0.48849277951831244,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
