ID_Cliente,Sector_Negocio,Tiempo_en_Servicio_Meses,Transacciones_Ult_Mes,Tasa_Uso_Caracteristica_X,Ingresos_Previstos_USD,Costo_Retencion_USD,Etiqueta_Real,Probabilidad_Modelo,Prediccion_Modelo
100000,Finanzas,28,8,0.2391722591836591,4630.765584435492,115,0,0.24697181703743584,0
100001,Manufactura,22,8,0.3479423868218005,8315.889833232884,95,1,0.2642551331655289,0
100002,Salud,45,10,0.39699922888472783,18138.531884231783,89,0,0.2136120426724014,0
100003,Finanzas,16,9,0.2894233678573816,2805.2616834762084,121,0,0.29617365571991205,0
100004,Retail,13,4,0.09838920274786248,8274.013039654244,42,0,0.35698819193849723,1
100005,Retail,36,4,0.374034588218719,819.7337138486782,57,1,0.2382898145250673,0
100006,Retail,36,5,0.5793030319623991,20070.960995357498,58,1,0.29599880747557533,0
100007,Manufactura,43,6,0.09411296650794486,8065.160490913269,96,0,0.1878517340920011,0
100008,Finanzas,23,9,0.06158132010125816,13782.107264658993,112,0,0.35407853082099644,1
100009,Salud,14,5,0.4621791783345288,6443.4536488443755,74,0,0.37633421220266655,1
100010,Retail,32,5,0.40172893214393723,10420.158262630774,51,0,0.26731959570522784,0
100011,Manufactura,3,5,0.27782104440027605,7964.764782389662,94,0,0.41452483405464174,1
100012,Salud,27,4,0.20009796717816689,3637.322578569756,71,0,0.28623362614195164,0
100013,Retail,19,3,0.28545108129894764,9439.221642616114,54,0,0.39118574303008025,1
100014,Retail,22,6,0.3359004479993312,3543.238381447222,45,0,0.2768572713773941,0
100015,Retail,57,10,0.45986449428629295,2665.1565967785605,52,0,0.11316603654123049,0
100016,Retail,1,7,0.10664023439065826,1713.4462883785604,43,0,0.33846350600923764,1
100017,Finanzas,5,4,0.1943654179283391,5561.18587578807,118,1,0.3228906426677554,1
100018,Finanzas,49,5,0.2983530988223625,16092.156408197836,111,1,0.18173898222821983,0
100019,Retail,33,4,0.39263312537780765,9420.364276908176,48,0,0.2804201628444608,0
100020,Finanzas,51,5,0.2881984046077865,11405.786114920065,128,0,0.2449301894482416,0
100021,Retail,19,4,0.348876463960622,6748.537982093602,45,1,0.22020631889019449,0
100022,Retail,36,6,0.30845888403833815,7267.533794512461,45,0,0.2109108913783211,0
100023,Finanzas,51,7,0.14419954848543923,6415.285507294358,126,0,0.16268846198270465,0
100024,Finanzas,6,9,0.4747579381403656,9489.831599296496,128,1,0.2877626365384376,0
100025,Salud,15,3,0.0951551187185543,9361.466836110856,74,0,0.39767182949732494,1
100026,Retail,36,7,0.04642635138174547,17163.221746557054,45,0,0.24434756987229042,0
100027,Finanzas,56,5,0.42871324060621824,15923.8116127633,114,1,0.19399318997345497,0
100028,Finanzas,33,6,0.176447899237115,2083.878339489628,115,0,0.215246495485187,0
100029,Retail,24,6,0.2835500588901715,4370.356783787951,44,0,0.2766860919523329,0
100030,Finanzas,27,8,0.40477244064736717,20091.327642255754,123,0,0.24636076957707917,0
100031,Retail,49,8,0.08974401288114277,8806.469234061247,49,0,0.19819405197246842,0
100032,Retail,11,7,0.2614781758925262,5051.496342929102,43,0,0.2758334339553363,0
100033,Manufactura,49,6,0.19673878309537704,4929.460598048421,106,1,0.23775192188604527,0
100034,Manufactura,23,3,0.2962406846319298,9199.743209924201,98,0,0.3428392205672802,1
100035,Salud,33,1,0.49860396483964786,3798.0685546428713,74,1,0.3733521948580072,1
100036,Retail,41,5,0.10124210357126562,22608.940623194543,41,0,0.27293727573387044,0
100037,Retail,46,5,0.25745726737417857,6138.26770596531,56,0,0.2348997256322179,0
100038,Salud,47,3,0.5548845545450322,2376.4888994558864,71,0,0.22228140796293752,0
100039,Finanzas,56,6,0.1624735828141285,5686.017339026323,125,0,0.1956892123511824,0
100040,Retail,29,9,0.5556757428848652,6729.500632220699,59,0,0.1868556297120844,0
